"id","tytul","rok","ocena","gatunek","budzet","boxoffice"
"1","Matrix","1999","7.5","akcja","63000000","463517000"
"2","Avatar","2009","7.4","sci-fi","425000000","2776350000"
"3","Gladiator","2000","8.1","dramat","103000000","460500000"
"4","Nietykalni","2011","8.6","dramat","10800000","426600000"
"9","Piraci z Karaibów: Na nieznanych wodach","2011","7.4","fantasy","410600000","1045710000"
"10","Avengers: Czas Ultrona","2015","7.3","sci-fi","330600000","1405040000"
"11","Piraci z Karaibów: Na krańcu świata","2007","7.7","fantasy","300000000","963420000"
"13","Avengers: Wojna bez granic","2018","8.2","sci-fi","300000000","2048360000"
"14","Liga Sprawiedliwości","2017","6.1","sci-fi","300000000","657924000"
"15","Jeździec znikąd","2013","6.6","western","275000000","260502000"
"16","John Carter","2012","6.6","sci-fi","275000000","284139000"
"17","Mroczny rycerz powstaje","2012","7.7","akcja","275000000","1084440000"
"18","Zaplątani","2010","7.6","animacja","260000000","591795000"
"19","Spider-Man 3","2007","6.6","akcja","258000000","890872000"
"21","Slacker","1990","7","dramat","23000","1227510"
"22","Między nami facetami","1997","6.7","dramat","25000","2883660"
"23","Clerks","1994","7.5","komedia","27000","3894240"
"24","Piwne rozmowy braci McMullen","1995","6.9","dramat","50000","10426500"
"27","Super size me","2004","6.4","komedia","65000","22233800"
"28","Pi","1998","7.4","dramat","68000","4678510"
"29","Ostatni dom po lewej","1972","6.3","horror","87000","3100000"
"30","Boska interwencja","2006","6.8","dramat","100000","10243200"
"31","Hollwood nie dla czarnych","1987","6","komedia","100000","5228620"
"32","Potężny i szlachetny","1998","7.5","komedia","100000","6121580"
"33","Over the Hill to the Porhouse","1920","0","dramat","100000","3000000"
"34","Szubienica","2015","5.1","horror","100000","41656500"
"35","Ghost story","2017","6.6","melodramat","100000","1943000"
"36","Narodziny narodu","1915","6.9","dramat","110000","11000000"
"37","Noc żywych trupów","1968","7.1","horror","114000","30087100"
"38","Siostra twojej siostry","2012","6.8","dramat","120000","3090590"
"39","Życie Pi","2012","7.2","dramat","120000000","609017000"
"40","Skazani na Shawshank","1994","8.8","dramat","25000000","59841500"
"41","Zielona mila","1999","8.6","dramat","60000000","286801000"
"42","Ojciec chrzestny","1972","8.6","dramat","6000000","245066000"
"43","Dwunastu gniewnych ludzi","1957","8.7","dramat","350000","2000000"
"44","Forest Gump","1994","8.5","dramat","55000000","677388000"
